n,mode,steps,metabolism_steps,co2_metabolism_kg,co2_ops_kg,co2_net_kg,o2_metabolism_kg,o2_ops_kg,o2_net_kg,water_metabolism_l,water_ops_l,water_net_l,co2_demand_kg,o2_demand_kg,water_demand_l,ars_nameplate_kg,ogs_nameplate_o2_kg,ogs_nameplate_water_l,wrs_nameplate_l,initial_co2_kg,initial_o2_kg,initial_water_l,final_co2_kg,final_o2_kg,final_water_l
6,none,36,35,0.08666666666666674,0.0,0.08666666666666684,0.07,0.0,-0.07000000000000028,0.19000000000000014,0.0,-0.18999999999999773,0.08666666666666667,0.07,0.18999999999999997,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,4.333333333333339,5.54999999999999,73.35000000000008
6,ars,36,35,0.08666666666666674,0.12037037037037053,-0.037142857142857144,0.07,0.0,-0.07000000000000028,0.19000000000000014,0.0,-0.18999999999999773,0.08666666666666667,0.07,0.18999999999999997,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,0.0,5.54999999999999,73.35000000000008
6,ogs,36,35,0.08666666666666674,0.0,0.08666666666666684,0.07,0.1284722222222223,0.06214285714285605,0.19000000000000014,0.14466298240862263,-0.33879621047743413,0.08666666666666667,0.07,0.18999999999999997,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,4.333333333333339,10.174999999999962,68.1421326332898
6,wrs,36,35,0.08666666666666674,0.0,0.08666666666666684,0.07,0.0,-0.07000000000000028,0.19000000000000014,-0.17378472222222222,-0.011250000000003979,0.08666666666666667,0.07,0.18999999999999997,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,4.333333333333339,5.54999999999999,79.60624999999986
7,none,36,35,0.10111111111111104,0.0,0.10111111111111099,0.0816666666666666,0.0,-0.081666666666667,0.22166666666666665,0.0,-0.22166666666666401,0.10111111111111111,0.08166666666666667,0.22166666666666662,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,4.838888888888884,5.141666666666655,72.24166666666676
7,ars,36,35,0.10111111111111104,0.13441358024691344,-0.037142857142857144,0.0816666666666666,0.0,-0.081666666666667,0.22166666666666665,0.0,-0.22166666666666401,0.10111111111111111,0.08166666666666667,0.22166666666666662,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,0.0,5.141666666666655,72.24166666666676
7,ogs,36,35,0.10111111111111104,0.0,0.10111111111111099,0.0816666666666666,0.1284722222222223,0.050476190476189335,0.22166666666666665,0.14466298240862263,-0.3704628771441004,0.10111111111111111,0.08166666666666667,0.22166666666666662,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,4.838888888888884,9.766666666666627,67.03379929995648
7,wrs,36,35,0.10111111111111104,0.0,0.10111111111111099,0.0816666666666666,0.0,-0.081666666666667,0.22166666666666665,-0.20274884259259274,-0.013125000000002274,0.10111111111111111,0.08166666666666667,0.22166666666666662,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,4.838888888888884,5.141666666666655,79.54062499999992
8,none,36,35,0.1155555555555555,0.0,0.1155555555555556,0.0933333333333333,0.0,-0.09333333333333371,0.25333333333333324,0.0,-0.2533333333333303,0.11555555555555555,0.09333333333333334,0.2533333333333333,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,5.344444444444446,4.73333333333332,71.13333333333344
8,ars,36,35,0.1155555555555555,0.14845679012345683,-0.037142857142857144,0.0933333333333333,0.0,-0.09333333333333371,0.25333333333333324,0.0,-0.2533333333333303,0.11555555555555555,0.09333333333333334,0.2533333333333333,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,0.0,4.73333333333332,71.13333333333344
8,ogs,36,35,0.1155555555555555,0.0,0.1155555555555556,0.0933333333333333,0.1284722222222223,0.03880952380952262,0.25333333333333324,0.14466298240862263,-0.4021295438107667,0.11555555555555555,0.09333333333333334,0.2533333333333333,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,5.344444444444446,9.358333333333292,65.92546596662316
8,wrs,36,35,0.1155555555555555,0.0,0.1155555555555556,0.0933333333333333,0.0,-0.09333333333333371,0.25333333333333324,-0.23171296296296295,-0.015000000000000568,0.11555555555555555,0.09333333333333334,0.2533333333333333,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,5.344444444444446,4.73333333333332,79.47499999999998
